startix,ndate,trk,meet,race,raceix,hid,fin,post0,nh1
1495529,20150101,BR,A,1,189280,82685,1,2.0000,8.0000
1495530,20150101,BR,A,1,189280,203338,2,7.0000,8.0000
1495531,20150101,BR,A,1,189280,270658,3,1.0000,8.0000
1495532,20150101,BR,A,1,189280,925092,4,6.0000,8.0000
1495533,20150101,BR,A,1,189280,527819,5,4.0000,8.0000
1495534,20150101,BR,A,1,189280,385685,6,8.0000,8.0000
1495535,20150101,BR,A,1,189280,187049,7,3.0000,8.0000
1495536,20150101,BR,A,1,189280,539852,8,5.0000,8.0000
1495537,20150101,BR,A,2,189281,340596,1,5.0000,8.0000
1495538,20150101,BR,A,2,189281,762684,2,3.0000,8.0000
1495539,20150101,BR,A,2,189281,808350,3,8.0000,8.0000
1495540,20150101,BR,A,2,189281,223572,4,7.0000,8.0000
1495541,20150101,BR,A,2,189281,771609,5,2.0000,8.0000
1495542,20150101,BR,A,2,189281,704700,6,1.0000,8.0000
1495543,20150101,BR,A,2,189281,876427,7,6.0000,8.0000
1495544,20150101,BR,A,2,189281,242503,8,4.0000,8.0000
1495545,20150101,BR,A,3,189282,924753,1,7.0000,8.0000
1495546,20150101,BR,A,3,189282,364040,2,5.0000,8.0000
1495547,20150101,BR,A,3,189282,268698,3,6.0000,8.0000
1495548,20150101,BR,A,3,189282,906337,4,1.0000,8.0000
1495549,20150101,BR,A,3,189282,835219,5,3.0000,8.0000
1495550,20150101,BR,A,3,189282,576009,6,2.0000,8.0000
1495551,20150101,BR,A,3,189282,791429,7,8.0000,8.0000
1495552,20150101,BR,A,3,189282,602979,8,4.0000,8.0000
1495553,20150101,BR,A,4,189283,925144,1,1.0000,8.0000
1495554,20150101,BR,A,4,189283,579038,2,6.0000,8.0000
1495555,20150101,BR,A,4,189283,343116,3,7.0000,8.0000
1495556,20150101,BR,A,4,189283,1057635,4,8.0000,8.0000
1495557,20150101,BR,A,4,189283,979613,5,5.0000,8.0000
1495558,20150101,BR,A,4,189283,970271,6,4.0000,8.0000
1495559,20150101,BR,A,4,189283,489998,7,2.0000,8.0000
1495560,20150101,BR,A,4,189283,439231,8,3.0000,8.0000
1495561,20150101,BR,A,5,189284,567226,1,3.0000,8.0000
1495562,20150101,BR,A,5,189284,43964,2,7.0000,8.0000
1495563,20150101,BR,A,5,189284,559835,3,5.0000,8.0000
1495564,20150101,BR,A,5,189284,674080,4,4.0000,8.0000
1495565,20150101,BR,A,5,189284,877008,5,2.0000,8.0000
1495566,20150101,BR,A,5,189284,337836,6,8.0000,8.0000
1495567,20150101,BR,A,5,189284,657846,7,6.0000,8.0000
1495568,20150101,BR,A,5,189284,367732,8,1.0000,8.0000
1495569,20150101,BR,A,6,189285,1077197,1,2.0000,8.0000
1495570,20150101,BR,A,6,189285,970797,2,7.0000,8.0000
1495571,20150101,BR,A,6,189285,1043672,3,6.0000,8.0000
1495572,20150101,BR,A,6,189285,1022298,4,4.0000,8.0000
1495573,20150101,BR,A,6,189285,1039775,5,8.0000,8.0000
1495574,20150101,BR,A,6,189285,1051667,6,5.0000,8.0000
1495575,20150101,BR,A,6,189285,1077368,7,1.0000,8.0000
1495576,20150101,BR,A,6,189285,997062,8,3.0000,8.0000
1495577,20150101,BR,A,7,189286,892462,1,1.0000,8.0000
1495578,20150101,BR,A,7,189286,873287,2,5.0000,8.0000
1495579,20150101,BR,A,7,189286,229114,3,2.0000,8.0000
1495580,20150101,BR,A,7,189286,708607,4,8.0000,8.0000
1495581,20150101,BR,A,7,189286,435533,5,7.0000,8.0000
1495582,20150101,BR,A,7,189286,486945,6,4.0000,8.0000
1495583,20150101,BR,A,7,189286,457492,7,3.0000,8.0000
1495584,20150101,BR,A,7,189286,414709,8,6.0000,8.0000
1495585,20150101,BR,A,8,189287,882485,1,5.0000,8.0000
1495586,20150101,BR,A,8,189287,1025906,2,2.0000,8.0000
